,ID,Team1Won,Season,Date,Team1,Team2,Home,Team1Pts,Team2Pts,Team1PtDiff,Team2PtDiff,Team1TM,Team2TM,Team1Rating,Team2Rating,Team1Sks,Team2Sks,Team1SkYds,Team2SkYds,Team1RushAtt,Team2RushAtt,Team1RushYds,Team2RushYds,Team1RYM,Team2RYM,Team1PYM,Team2PYM,Team1YM,Team2YM
117,1255,True,2022,2022-10-30,PHI,PIT,1,35,13,22,-22,2,-2,140.0,72.7,3,6,18,38,20,24,111,144,-33,33,132,-132,99,-99
118,1257,False,2022,2022-10-30,LAR,SFO,1,14,31,-17,17,0,0,91.4,146.3,2,3,20,12,21,23,56,111,-55,55,-90,90,-145,145
119,1259,False,2022,2022-10-30,NYG,SEA,0,13,27,-14,14,-1,1,71.4,101.3,5,3,29,22,28,25,78,87,-9,9,-43,43,-52,52
120,1247,True,2022,2022-10-30,DEN,JAX,0,21,17,4,-4,1,-1,84.3,49.7,3,2,22,19,28,32,101,191,-90,90,116,-116,26,-26
121,1253,True,2022,2022-10-30,NWE,NYJ,0,22,17,5,-5,2,-2,79.9,62.7,6,2,33,19,34,15,127,51,76,-76,-175,175,-99,99
122,1233,False,2022,2022-10-31,CIN,CLE,0,13,32,-19,19,0,0,96.4,108.6,5,2,39,10,10,44,36,172,-136,136,-75,75,-211,211
123,1231,False,2022,2022-11-03,HOU,PHI,1,17,29,-12,12,-1,1,72.9,124.8,3,4,19,26,32,31,168,143,25,-25,-82,82,-57,57
124,1229,True,2022,2022-11-06,MIN,WAS,0,20,17,3,-3,0,0,81.6,74.4,2,3,17,23,22,30,56,137,-81,81,119,-119,38,-38
125,1209,False,2022,2022-11-06,ATL,LAC,1,17,20,-3,3,0,0,68.9,82.0,2,0,15,0,35,24,201,91,110,-110,-131,131,-21,21
126,1213,False,2022,2022-11-06,CAR,CIN,0,21,42,-21,21,-3,3,66.5,107.4,0,2,0,5,18,39,64,241,-177,177,-59,59,-236,236
127,1215,False,2022,2022-11-06,ARI,SEA,1,21,31,-10,10,0,0,101.5,105.4,5,2,35,12,21,34,122,158,-36,36,-123,123,-159,159
128,1217,True,2022,2022-11-06,DET,GNB,1,15,9,6,-6,2,-2,78.5,52.8,0,1,0,8,31,25,117,106,11,-11,-146,146,-135,135
129,1211,False,2022,2022-11-06,CHI,MIA,1,32,35,-3,3,0,0,106.7,135.7,2,0,7,0,40,23,252,77,175,-175,-186,186,-11,11
130,1221,True,2022,2022-11-06,KAN,TEN,1,20,17,3,-3,-1,1,80.9,43.0,4,3,24,23,19,29,77,172,-95,95,365,-365,270,-270
131,1223,False,2022,2022-11-06,IND,NWE,0,3,26,-23,23,0,0,45.6,87.2,9,4,60,14,22,28,78,70,8,-8,-90,90,-82,82
132,1225,False,2022,2022-11-06,BUF,NYJ,0,17,20,-3,3,-1,1,46.8,98.1,5,2,22,18,22,34,134,174,-40,40,47,-47,7,-7
133,1227,False,2022,2022-11-06,LAR,TAM,0,13,16,-3,3,0,0,80.0,79.1,4,1,27,8,24,20,68,51,17,-17,-134,134,-117,117
134,1219,True,2022,2022-11-06,JAX,LVR,1,27,20,7,-7,0,0,109.0,97.9,0,2,0,11,37,19,168,73,95,-95,-13,13,82,-82
