Rk,Team,Date,Season,Pts,PtsO,Rate,TO,Y/P,DY/P,ToP,Rate,Att,Att,Day,G#,Week,Away,Opp,Result,Pts,PtsO,PtDif,PC,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C,Rush_Att,Rush_Yds,Rush_Y/A,TD,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,Cmp,Att,Cmp%,Yds,TD,Sk,Yds,Int,Rate,Opp_Rush_Att,Opp_Rush_Yds,Y/A,TD,Rush,Pass,Tot,TO
1109,LVR,2022-12-04,2022,27,20,89.6,-1,6.85,5.22,29:16,86.7,29,22,Sun,12,13,,LAC,W 27-20,27,20,7,47,16,30,14,53.3,250,2,1,6.7,3.3,89.6,0,0,0.00,8.3,8.33,8.17,8.17,15.6,29,154,5.3,1,404,59,6.85,74,5.22,2,29:16,3:07,28,47,59.6,314,1,5,21,0,86.7,22,72,3.3,0,82,-64,18,-1
1110,LAC,2022-12-04,2022,20,27,88.5,1,5.22,6.85,30:44,89.6,22,29,Sun,12,13,@,LVR,L 20-27,20,27,-7,47,28,47,19,59.6,314,1,0,2.1,0.0,88.5,5,21,9.62,6.7,6.04,7.11,6.42,11.2,22,72,3.3,0,386,74,5.22,59,6.85,1,30:44,3:07,16,30,53.3,250,2,0,0,1,89.6,29,154,5.3,1,-82,64,-18,1
1111,LAR,2022-12-04,2022,23,27,43.4,0,5.06,6.74,29:07,114.0,33,22,Sun,12,13,,SEA,L 23-27,23,27,-4,50,14,26,12,53.8,148,0,2,0.0,7.7,43.4,4,30,13.33,5.7,4.93,2.23,1.93,10.6,33,171,5.2,2,319,63,5.06,65,6.74,2,29:07,3:03,28,39,71.8,348,3,4,19,1,114.0,22,90,4.1,0,81,-200,-119,0
1112,SEA,2022-12-04,2022,27,23,116.1,0,6.74,5.06,30:53,38.6,22,33,Sun,12,13,@,LAR,W 27-23,27,23,4,50,28,39,11,71.8,348,3,1,7.7,2.6,116.1,4,19,9.30,8.9,8.09,9.31,8.44,12.4,22,90,4.1,0,438,65,6.74,63,5.06,2,30:53,3:03,14,26,53.8,148,0,4,30,2,38.6,33,171,5.2,2,-81,200,119,0
1113,DEN,2022-12-04,2022,9,10,102.3,2,5.23,4.13,27:31,64.6,28,28,Sun,12,13,@,BAL,L 9-10,9,10,-1,19,17,22,5,77.3,184,0,0,0.0,0.0,102.3,2,5,8.33,8.4,7.67,8.36,7.67,10.8,28,88,3.1,0,272,52,5.23,69,4.13,0,27:31,2:56,30,37,81.1,182,0,4,16,2,64.6,28,103,3.7,1,-15,2,-13,2
1114,BAL,2022-12-04,2022,10,9,66.4,-2,4.13,5.23,32:29,101.3,28,28,Sun,12,13,,DEN,W 10-9,10,9,1,19,30,37,7,81.1,182,0,2,0.0,5.4,66.4,4,16,9.76,4.9,4.44,2.49,2.24,6.1,28,103,3.7,1,285,69,4.13,52,5.23,2,32:29,2:56,17,22,77.3,184,0,2,5,0,101.3,28,88,3.1,0,15,-2,13,-2
1115,MIA,2022-12-04,2022,17,33,65.2,-3,6.84,4.44,19:26,86.4,8,34,Sun,12,13,@,SFO,L 17-33,17,33,-16,50,18,34,16,52.9,275,2,3,5.9,8.8,65.2,3,20,8.11,8.1,7.43,5.29,4.86,15.3,8,33,4.1,0,308,45,6.84,79,4.44,4,19:26,3:14,27,41,65.9,230,2,4,36,1,86.4,34,121,3.6,0,-88,45,-43,-3
1116,SFO,2022-12-04,2022,33,17,90.1,3,4.44,6.84,40:34,62.7,34,8,Sun,12,13,,MIA,W 33-17,33,17,16,50,27,41,14,65.9,230,2,1,4.9,2.4,90.1,4,36,8.89,5.6,5.11,5.49,5.00,8.5,34,121,3.6,0,351,79,4.44,45,6.84,1,40:34,3:14,18,34,52.9,275,2,3,20,3,62.7,8,33,4.1,0,88,-45,43,3
1117,BUF,2022-12-01,2022,24,10,106.0,-1,4.93,4.75,38:08,83.3,37,14,Thu,12,13,@,NWE,W 24-10,24,10,14,34,22,33,11,66.7,223,2,0,6.1,0.0,106.0,2,0,5.71,6.8,6.37,7.97,7.51,10.1,37,132,3.6,1,355,72,4.93,51,4.75,1,38:08,2:55,22,36,61.1,182,1,1,13,0,83.3,14,60,4.3,0,72,41,113,-1
1118,NWE,2022-12-01,2022,10,24,84.8,1,4.75,4.93,21:52,106.0,14,37,Thu,12,13,,BUF,L 10-24,10,24,-14,34,22,36,14,61.1,182,1,0,2.8,0.0,84.8,1,13,2.70,5.1,4.92,5.61,5.46,8.3,14,60,4.3,0,242,51,4.75,72,4.93,0,21:52,2:55,22,33,66.7,223,2,2,0,0,106.0,37,132,3.6,1,-72,-41,-113,1
1119,IND,2022-11-28,2022,17,24,77.9,-2,4.68,4.82,25:38,84.1,25,36,Mon,12,12,,PIT,L 17-24,17,24,-7,41,22,34,12,64.7,180,1,1,2.9,2.9,77.9,3,19,8.11,5.3,4.86,4.56,4.19,8.2,25,110,4.4,1,290,62,4.68,67,4.82,2,25:38,2:58,20,28,71.4,151,0,3,23,0,84.1,36,172,4.8,2,-62,29,-33,-2
1120,PIT,2022-11-28,2022,24,17,87.5,2,4.82,4.68,34:22,75.6,36,25,Mon,11,12,@,IND,W 24-17,24,17,7,41,20,28,8,71.4,151,0,0,0.0,0.0,87.5,3,23,9.68,5.4,4.87,5.39,4.87,7.6,36,172,4.8,2,323,67,4.82,62,4.68,0,34:22,2:58,22,34,64.7,180,1,3,19,1,75.6,25,110,4.4,1,62,-29,33,2
1121,CAR,2022-11-27,2022,23,10,103.8,1,5.37,4.32,37:03,71.7,46,19,Sun,12,12,,DEN,W 23-10,23,10,13,33,11,19,8,57.9,164,1,0,5.3,0.0,103.8,0,0,0.00,8.6,8.63,9.68,9.68,14.9,46,185,4.0,1,349,65,5.37,57,4.32,1,37:03,3:06,19,35,54.3,125,1,3,17,0,71.7,19,121,6.4,0,64,39,103,1
1122,DEN,2022-11-27,2022,10,23,73.7,-1,4.32,5.37,22:57,103.8,19,46,Sun,11,12,@,CAR,L 10-23,10,23,-13,33,19,35,16,54.3,125,1,0,2.9,0.0,73.7,3,17,7.89,3.6,3.29,4.14,3.82,6.6,19,121,6.4,0,246,57,4.32,65,5.37,2,22:57,3:06,11,19,57.9,164,1,0,0,0,103.8,46,185,4.0,1,-64,-39,-103,-1
1123,CLE,2022-11-27,2022,23,17,75.3,-1,4.89,4.92,39:04,96.0,34,20,Sun,11,12,,TAM,W 23-17 (OT),23,17,6,40,23,37,14,62.2,178,1,1,2.7,2.7,75.3,4,32,9.76,4.8,4.34,4.14,3.73,7.7,34,189,5.6,2,367,75,4.89,66,4.92,1,39:04,3:25,29,43,67.4,229,2,3,17,0,96.0,20,96,4.8,0,93,-51,42,-1
1124,TAM,2022-11-27,2022,17,23,97.6,1,4.92,4.89,30:37,71.7,20,34,Sun,11,12,@,CLE,L 17-23 (OT),17,23,-6,40,29,43,14,67.4,229,2,0,4.7,0.0,97.6,3,17,6.52,5.3,4.98,6.26,5.85,7.9,20,96,4.8,0,325,66,4.92,75,4.89,0,30:37,3:25,23,37,62.2,178,1,4,32,1,71.7,34,189,5.6,2,-93,51,-42,1
1125,ARI,2022-11-27,2022,24,25,89.9,-2,5.72,4.86,30:35,107.2,34,13,Sun,12,12,,LAC,L 24-25,24,25,-1,49,18,29,11,62.1,185,2,1,6.9,3.4,89.9,1,6,3.33,6.4,6.17,6.21,6.00,10.3,34,181,5.3,1,366,64,5.72,64,4.86,2,30:35,3:08,35,47,74.5,246,3,4,28,0,107.2,13,65,5.0,0,116,-61,55,-2
1126,LAC,2022-11-27,2022,25,24,109.7,2,4.86,5.72,29:25,89.0,13,34,Sun,11,12,@,ARI,W 25-24,25,24,1,49,35,47,12,74.5,246,3,0,6.4,0.0,109.7,4,28,7.84,5.2,4.82,6.51,6.00,7.0,13,65,5.0,0,311,64,4.86,64,5.72,0,29:25,3:08,18,29,62.1,185,2,1,6,1,89.0,34,181,5.3,1,-116,61,-55,2
1127,JAX,2022-11-27,2022,28,27,129.8,1,5.44,6.10,27:21,87.1,20,35,Sun,11,12,,BAL,W 28-27,28,27,1,55,29,37,8,78.4,294,3,0,8.1,0.0,129.8,4,27,9.76,7.9,7.17,9.57,8.63,10.1,20,38,1.9,0,332,61,5.44,68,6.10,1,27:21,3:15,16,32,50.0,253,1,1,1,0,87.1,35,162,4.6,1,-124,41,-83,1
1128,BAL,2022-11-27,2022,27,28,87.2,-1,6.10,5.44,32:39,126.8,35,20,Sun,11,12,@,JAX,L 27-28,27,28,-1,55,16,32,16,50.0,253,1,0,3.1,0.0,87.2,1,1,3.03,7.9,7.67,8.53,8.27,15.8,35,162,4.6,1,415,68,6.10,61,5.44,2,32:39,3:15,29,37,78.4,294,3,4,27,0,126.8,20,38,1.9,0,124,-41,83,-1
1129,KAN,2022-11-27,2022,26,10,85.4,0,6.07,3.60,32:26,44.1,30,28,Sun,11,12,,LAR,W 26-10,26,10,16,36,27,42,15,64.3,320,1,1,2.4,2.4,85.4,0,0,0.00,7.6,7.62,7.02,7.02,11.9,30,117,3.9,1,437,72,6.07,55,3.60,2,32:26,2:55,14,24,58.3,82,1,3,24,2,44.1,28,116,4.1,0,1,238,239,0
1130,LAR,2022-11-27,2022,10,26,48.3,0,3.60,6.07,27:34,85.4,28,30,Sun,11,12,@,KAN,L 10-26,10,26,-16,36,14,24,10,58.3,82,1,2,4.2,8.3,48.3,3,24,11.11,3.4,3.04,0.50,0.44,5.9,28,116,4.1,0,198,55,3.60,72,6.07,2,27:34,2:55,27,42,64.3,320,1,0,0,1,85.4,30,117,3.9,1,-1,-238,-239,0
1131,HOU,2022-11-27,2022,15,30,67.8,-2,3.62,4.71,27:33,84.7,14,26,Sun,11,12,@,MIA,L 15-30,15,30,-15,45,26,39,13,66.7,174,1,2,2.6,5.1,67.8,5,41,11.36,4.5,3.95,2.67,2.36,6.7,14,36,2.6,1,210,58,3.62,72,4.71,3,27:33,3:03,23,41,56.1,273,1,5,32,0,84.7,26,66,2.5,1,-30,-99,-129,-2
1132,MIA,2022-11-27,2022,30,15,88.0,2,4.71,3.62,32:27,63.4,26,14,Sun,11,12,,HOU,W 30-15,30,15,15,45,23,41,18,56.1,273,1,0,2.4,0.0,88.0,5,32,10.87,6.7,5.93,7.15,6.37,11.9,26,66,2.5,1,339,72,4.71,58,3.62,1,32:27,3:03,26,39,66.7,174,1,5,41,2,63.4,14,36,2.6,1,30,99,129,2
1133,CHI,2022-11-27,2022,10,31,75.2,-1,5.21,7.52,27:55,144.0,29,32,Sun,12,12,@,NYJ,L 10-31,10,31,-21,41,14,25,11,56.0,165,1,1,4.0,4.0,75.2,2,14,7.41,6.6,6.11,5.60,5.19,11.8,29,127,4.4,0,292,56,5.21,62,7.52,1,27:55,2:48,22,29,75.9,308,3,1,7,0,144.0,32,158,4.9,1,-31,-143,-174,-1
1134,NYJ,2022-11-27,2022,31,10,145.0,1,7.52,5.21,32:05,72.9,32,29,Sun,11,12,,CHI,W 31-10,31,10,21,41,22,29,7,75.9,308,3,0,10.3,0.0,145.0,1,7,3.33,10.6,10.27,12.69,12.27,14.0,32,158,4.9,1,466,62,7.52,56,5.21,0,32:05,2:48,14,25,56.0,165,1,2,14,1,72.9,29,127,4.4,0,31,143,174,1
1135,CIN,2022-11-27,2022,20,16,91.0,0,5.67,6.14,31:46,90.4,28,21,Sun,11,12,@,TEN,W 20-16,20,16,4,36,22,37,15,59.5,266,1,0,2.7,0.0,91.0,1,4,2.63,7.2,7.00,7.73,7.53,12.1,28,108,3.9,1,374,66,5.67,56,6.14,0,31:46,2:58,22,34,64.7,281,0,1,10,0,90.4,21,63,3.0,0,45,-15,30,0
1136,TEN,2022-11-27,2022,16,20,91.7,0,6.14,5.67,28:14,90.6,21,28,Sun,11,12,,CIN,L 16-20,16,20,-4,36,22,34,12,64.7,281,0,0,0.0,0.0,91.7,1,10,2.86,8.3,8.03,8.26,8.03,12.8,21,63,3.0,0,344,56,6.14,66,5.67,0,28:14,2:58,22,37,59.5,266,1,1,4,0,90.6,28,108,3.9,1,-45,15,-30,0
1137,GNB,2022-11-27,2022,33,40,107.2,-1,6.98,6.33,24:26,93.9,21,49,Sun,12,12,@,PHI,L 33-40,33,40,-7,73,17,25,8,68.0,236,3,2,12.0,8.0,107.2,3,17,10.71,9.4,8.43,8.24,7.36,13.9,21,106,5.0,1,342,49,6.98,79,6.33,2,24:26,3:09,16,28,57.1,137,2,2,16,0,93.9,49,363,7.4,3,-257,99,-158,-1
1138,PHI,2022-11-27,2022,40,33,96.3,1,6.33,6.98,35:34,104.3,49,21,Sun,11,12,,GNB,W 40-33,40,33,7,73,16,28,12,57.1,137,2,0,7.1,0.0,96.3,2,16,6.67,4.9,4.57,6.32,5.90,8.6,49,363,7.4,3,500,79,6.33,49,6.98,1,35:34,3:09,17,25,68.0,236,3,3,17,2,104.3,21,106,5.0,1,257,-99,158,1
1139,LVR,2022-11-27,2022,40,34,98.7,0,7.48,5.90,37:35,104.2,40,23,Sun,11,12,@,SEA,W 40-34 (OT),40,34,6,74,25,36,11,69.4,293,3,2,8.3,5.6,98.7,1,2,2.70,8.1,7.92,7.31,7.11,11.7,40,283,7.1,2,576,77,7.48,63,5.90,2,37:35,3:30,27,37,73.0,307,2,3,21,1,104.2,23,65,2.8,2,218,-14,204,0
1140,SEA,2022-11-27,2022,34,40,106.6,0,5.90,7.48,28:05,98.5,23,40,Sun,11,12,,LVR,L 34-40 (OT),34,40,-6,74,27,37,10,73.0,307,2,1,5.4,2.7,106.6,3,21,7.50,8.3,7.68,8.16,7.55,11.4,23,65,2.8,2,372,63,5.90,77,7.48,2,28:05,3:30,25,36,69.4,293,3,1,2,2,98.5,40,283,7.1,2,-218,14,-204,0
1141,NOR,2022-11-27,2022,0,13,80.4,-2,4.91,4.73,25:10,94.5,22,29,Sun,12,12,@,SFO,L 0-13,0,13,-13,13,18,30,12,60.0,197,0,0,0.0,0.0,80.4,1,7,3.23,6.6,6.35,6.57,6.35,10.9,22,63,2.9,0,260,53,4.91,67,4.73,2,25:10,2:58,26,37,70.3,221,1,1,1,0,94.5,29,96,3.3,0,-33,-24,-57,-2
1142,SFO,2022-11-27,2022,13,0,94.7,2,4.73,4.91,34:50,79.4,29,22,Sun,11,12,,NOR,W 13-0,13,0,13,13,26,37,11,70.3,221,1,0,2.7,0.0,94.7,1,1,2.63,6.0,5.82,6.51,6.34,8.5,29,96,3.3,0,317,67,4.73,53,4.91,0,34:50,2:58,18,30,60.0,197,0,1,7,0,79.4,22,63,2.9,0,33,24,57,2
1143,ATL,2022-11-27,2022,13,19,77.7,0,6.04,5.23,26:51,88.7,29,37,Sun,12,12,@,WAS,L 13-19,13,19,-6,32,15,25,10,60.0,165,1,1,4.0,4.0,77.7,1,9,3.85,6.6,6.35,5.60,5.38,11.0,29,167,5.8,0,332,55,6.04,60,5.23,1,26:51,2:47,14,23,60.9,138,2,0,0,1,88.7,37,176,4.8,0,-9,27,18,0
1144,WAS,2022-11-27,2022,19,13,88.7,0,5.23,6.04,33:09,76.2,37,29,Sun,12,12,,ATL,W 19-13,19,13,6,32,14,23,9,60.9,138,2,1,8.7,4.3,88.7,0,0,0.00,6.0,6.00,5.78,5.78,9.9,37,176,4.8,0,314,60,5.23,55,6.04,1,33:09,2:47,15,25,60.0,165,1,1,9,1,76.2,29,167,5.8,0,9,-27,-18,0
1145,DAL,2022-11-24,2022,28,20,91.1,-2,6.23,5.08,34:09,86.6,39,21,Thu,11,12,,NYG,W 28-20,28,20,8,48,21,30,9,70.0,261,2,2,6.7,6.7,91.1,0,0,0.00,8.7,8.70,7.03,7.03,12.4,39,169,4.3,2,430,69,6.23,59,5.08,2,34:09,3:18,21,35,60.0,210,1,3,18,0,86.6,21,90,4.3,1,79,51,130,-2
1146,NYG,2022-11-24,2022,20,28,88.7,2,5.08,6.23,25:51,91.1,21,39,Thu,11,12,@,DAL,L 20-28,20,28,-8,48,21,35,14,60.0,210,1,0,2.9,0.0,88.7,3,18,7.89,6.0,5.53,6.57,6.05,10.0,21,90,4.3,1,300,59,5.08,69,6.23,0,25:51,3:18,21,30,70.0,261,2,0,0,2,91.1,39,169,4.3,2,-79,-51,-130,2
1147,BUF,2022-11-24,2022,28,25,80.8,1,5.42,4.87,31:26,97.8,29,28,Thu,11,12,@,DET,W 28-25,28,25,3,53,24,42,18,57.1,237,2,1,4.8,2.4,80.8,3,16,6.67,5.6,5.27,5.52,5.16,9.9,29,164,5.7,1,401,74,5.42,67,4.87,1,31:26,3:14,23,37,62.2,230,2,2,10,0,97.8,28,96,3.4,1,68,7,75,1
1148,DET,2022-11-24,2022,25,28,98.9,-1,4.87,5.42,28:34,79.2,28,29,Thu,11,12,,BUF,L 25-28,25,28,-3,53,23,37,14,62.2,230,2,0,5.4,0.0,98.9,2,10,5.13,6.2,5.90,7.30,6.92,10.0,28,96,3.4,1,326,67,4.87,74,5.42,2,28:34,3:14,24,42,57.1,237,2,3,16,1,79.2,29,164,5.7,1,-68,-7,-75,-1
1149,MIN,2022-11-24,2022,33,26,116.0,-1,5.42,7.44,36:17,117.9,27,13,Thu,11,12,,NWE,W 33-26,33,26,7,59,31,38,7,81.6,301,3,1,7.9,2.6,116.0,1,9,2.56,7.9,7.72,8.32,8.10,9.7,27,57,2.1,0,358,66,5.42,55,7.44,1,36:17,3:00,28,39,71.8,364,2,3,18,0,117.9,13,45,3.5,0,12,-63,-51,-1
1150,NWE,2022-11-24,2022,26,33,119.8,1,7.44,5.42,23:43,115.0,13,27,Thu,11,12,@,MIN,L 26-33,26,33,-7,59,28,39,11,71.8,364,2,0,5.1,0.0,119.8,3,18,7.14,9.3,8.67,10.36,9.62,13.0,13,45,3.5,0,409,55,7.44,66,5.42,0,23:43,3:00,31,38,81.6,301,3,1,9,1,115.0,27,57,2.1,0,-12,63,51,1
1151,ARI,2022-11-21,2022,10,38,66.2,-2,4.42,6.79,30:51,131.9,24,28,Mon,11,11,,SFO,L 10-38,10,38,-28,48,30,44,14,68.2,247,0,2,0.0,4.5,66.2,3,30,6.38,5.6,5.26,3.57,3.34,8.2,24,67,2.8,1,314,71,4.42,57,6.79,2,30:51,2:59,20,29,69.0,228,4,0,0,0,131.9,28,159,5.7,1,-92,19,-73,-2
1152,SFO,2022-11-21,2022,38,10,131.9,2,6.79,4.42,29:09,63.4,28,24,Mon,10,11,@,ARI,W 38-10,38,10,28,48,20,29,9,69.0,228,4,0,13.8,0.0,131.9,0,0,0.00,7.9,7.86,10.62,10.62,11.4,28,159,5.7,1,387,57,6.79,71,4.42,0,29:09,2:59,30,44,68.2,247,0,3,30,2,63.4,24,67,2.8,1,92,-19,73,2
1153,ATL,2022-11-20,2022,27,24,100.2,-1,5.28,4.36,24:50,79.1,33,41,Sun,11,11,,CHI,W 27-24,27,24,3,51,13,20,7,65.0,131,1,0,5.0,0.0,100.2,0,0,0.00,6.6,6.55,7.55,7.55,10.1,33,149,4.5,1,280,53,5.28,66,4.36,2,24:50,2:57,14,21,66.7,128,1,4,25,1,79.1,41,160,3.9,2,-11,3,-8,-1
1154,CHI,2022-11-20,2022,24,27,84.0,1,4.36,5.28,35:10,100.2,41,33,Sun,11,11,@,ATL,L 24-27,24,27,-3,51,14,21,7,66.7,128,1,1,4.8,4.8,84.0,4,25,16.00,6.1,5.12,4.90,4.12,9.1,41,160,3.9,2,288,66,4.36,53,5.28,1,35:10,2:57,13,20,65.0,131,1,0,0,0,100.2,33,149,4.5,1,11,-3,8,1
1155,BUF,2022-11-20,2022,31,23,100.4,1,5.76,5.82,28:38,115.5,33,26,Sun,10,11,,CLE,W 31-23,31,23,8,54,18,27,9,66.7,186,1,0,3.7,0.0,100.4,2,11,6.90,6.9,6.41,7.63,7.10,10.3,33,171,5.2,1,357,62,5.76,68,5.82,0,28:38,3:15,28,41,68.3,316,3,1,8,0,115.5,26,80,3.1,0,91,-130,-39,1
1156,CLE,2022-11-20,2022,23,31,116.3,-1,5.82,5.76,31:22,98.7,26,33,Sun,10,11,@,BUF,L 23-31,23,31,-8,54,28,41,13,68.3,316,3,0,7.3,0.0,116.3,1,8,2.38,7.7,7.52,9.17,8.95,11.3,26,80,3.1,0,396,68,5.82,62,5.76,1,31:22,3:15,18,27,66.7,186,1,2,11,0,98.7,33,171,5.2,1,-91,130,39,-1
1157,IND,2022-11-20,2022,16,17,89.7,1,4.58,5.15,30:38,104.2,26,33,Sun,11,11,,PHI,L 16-17,16,17,-1,33,23,32,9,71.9,185,0,0,0.0,0.0,89.7,4,28,11.11,5.8,5.14,5.78,5.14,8.0,26,99,3.8,1,284,62,4.58,61,5.15,1,30:38,2:56,18,25,72.0,173,1,3,17,0,104.2,33,141,4.3,1,-42,12,-30,1
1158,PHI,2022-11-20,2022,17,16,107.1,-1,5.15,4.58,29:22,86.1,33,26,Sun,10,11,@,IND,W 17-16,17,16,1,33,18,25,7,72.0,173,1,0,4.0,0.0,107.1,3,17,10.71,6.9,6.18,7.72,6.89,9.6,33,141,4.3,1,314,61,5.15,62,4.58,2,29:22,2:56,23,32,71.9,185,0,4,28,0,86.1,26,99,3.8,1,42,-12,30,-1
1159,DEN,2022-11-20,2022,16,22,99.8,0,5.16,6.56,28:57,105.5,28,24,Sun,10,11,,LVR,L 16-22 (OT),16,22,-6,38,24,31,7,77.4,226,0,0,0.0,0.0,99.8,3,21,8.82,7.3,6.65,7.29,6.65,9.4,28,94,3.4,1,320,62,5.16,62,6.56,0,28:57,3:11,23,37,62.2,298,2,1,9,0,105.5,24,109,4.5,0,-15,-72,-87,0
1160,LVR,2022-11-20,2022,22,16,106.5,0,6.56,5.16,32:39,97.0,24,28,Sun,10,11,@,DEN,W 22-16 (OT),22,16,6,38,23,37,14,62.2,298,2,0,5.4,0.0,106.5,1,9,2.63,8.1,7.84,9.14,8.89,13.0,24,109,4.5,0,407,62,6.56,62,5.16,0,32:39,3:11,24,31,77.4,226,0,3,21,0,97.0,28,94,3.4,1,15,72,87,0
1161,HOU,2022-11-20,2022,10,23,46.1,-2,2.74,5.13,25:04,77.9,16,40,Sun,10,11,,WAS,L 10-23,10,23,-13,33,19,33,14,57.6,127,0,2,0.0,6.1,46.1,5,42,13.16,3.8,3.34,1.12,0.97,6.7,16,21,1.3,1,148,54,2.74,67,5.13,2,25:04,2:54,15,27,55.6,191,0,0,0,0,77.9,40,153,3.8,1,-132,-64,-196,-2
1162,WAS,2022-11-20,2022,23,10,77.9,2,5.13,2.74,34:56,40.8,40,16,Sun,11,11,@,HOU,W 23-10,23,10,13,33,15,27,12,55.6,191,0,0,0.0,0.0,77.9,0,0,0.00,7.1,7.07,7.07,7.07,12.7,40,153,3.8,1,344,67,5.13,54,2.74,0,34:56,2:54,19,33,57.6,127,0,5,42,2,40.8,16,21,1.3,1,132,64,196,2
1163,DAL,2022-11-20,2022,40,3,131.5,1,6.54,3.39,37:24,64.6,40,17,Sun,10,11,@,MIN,W 40-3,40,3,37,43,26,30,4,86.7,307,2,0,6.7,0.0,131.5,0,0,0.00,10.2,10.23,11.57,11.57,11.8,40,151,3.8,2,458,70,6.54,54,3.39,0,37:24,3:03,17,30,56.7,110,0,7,49,0,64.6,17,73,4.3,0,78,197,275,1
1164,MIN,2022-11-20,2022,3,40,71.4,-1,3.39,6.54,22:36,131.5,17,40,Sun,10,11,,DAL,L 3-40,3,40,-37,43,17,30,13,56.7,110,0,0,0.0,0.0,71.4,7,49,18.92,3.7,2.97,3.67,2.97,6.5,17,73,4.3,0,183,54,3.39,70,6.54,1,22:36,3:03,26,30,86.7,307,2,0,0,0,131.5,40,151,3.8,2,-78,-197,-275,-1
1165,NOR,2022-11-20,2022,27,20,143.2,0,5.77,5.42,31:07,101.5,24,30,Sun,11,11,,LAR,W 27-20,27,20,7,47,22,28,6,78.6,235,3,0,10.7,0.0,143.2,4,39,12.50,8.4,7.34,10.54,9.22,10.7,24,88,3.7,0,323,56,5.77,62,5.42,0,31:07,2:55,16,28,57.1,188,2,4,35,0,101.5,30,148,4.9,0,-60,47,-13,0
1166,LAR,2022-11-20,2022,20,27,106.7,0,5.42,5.77,28:53,137.4,30,24,Sun,10,11,@,NOR,L 20-27,20,27,-7,47,16,28,12,57.1,188,2,0,7.1,0.0,106.7,4,35,12.50,6.7,5.88,8.14,7.13,11.8,30,148,4.9,0,336,62,5.42,56,5.77,0,28:53,2:55,22,28,78.6,235,3,4,39,0,137.4,24,88,3.7,0,60,-47,13,0
1167,NWE,2022-11-20,2022,10,3,104.6,0,5.03,2.10,35:30,48.7,26,23,Sun,10,11,,NYJ,W 10-3,10,3,7,13,23,27,4,85.2,198,0,0,0.0,0.0,104.6,6,48,18.18,7.3,6.00,7.33,6.00,8.6,26,99,3.8,0,297,59,5.03,49,2.10,0,35:30,2:59,9,22,40.9,44,0,4,33,0,48.7,23,59,2.6,0,40,154,194,0
1168,NYJ,2022-11-20,2022,3,10,50.8,0,2.10,5.03,24:30,97.2,23,26,Sun,10,11,@,NWE,L 3-10,3,10,-7,13,9,22,13,40.9,44,0,0,0.0,0.0,50.8,4,33,15.38,2.0,1.69,2.00,1.69,4.9,23,59,2.6,0,103,49,2.10,59,5.03,0,24:30,2:59,23,27,85.2,198,0,6,48,0,97.2,26,99,3.8,0,-40,-154,-194,0
1169,DET,2022-11-20,2022,31,18,83.0,3,5.16,5.74,31:48,72.5,37,26,Sun,10,11,@,NYG,W 31-18,31,18,13,49,17,26,9,65.4,165,0,0,0.0,0.0,83.0,0,0,0.00,6.3,6.35,6.35,6.35,9.7,37,160,4.3,4,325,63,5.16,72,5.74,0,31:48,3:06,27,44,61.4,324,1,2,17,2,72.5,26,89,3.4,2,71,-159,-88,3
1170,NYG,2022-11-20,2022,18,31,74.1,-3,5.74,5.16,28:12,83.0,26,37,Sun,10,11,,DET,L 18-31,18,31,-13,49,27,44,17,61.4,324,1,2,2.3,4.5,74.1,2,17,4.35,7.4,7.04,5.77,5.52,12.0,26,89,3.4,2,413,72,5.74,63,5.16,3,28:12,3:06,17,26,65.4,165,0,0,0,0,83.0,37,160,4.3,4,-71,159,88,-3
1171,CIN,2022-11-20,2022,37,30,104.1,-2,6.28,5.16,31:36,84.3,24,24,Sun,10,11,@,PIT,W 37-30,37,30,7,67,24,39,15,61.5,346,4,2,10.3,5.1,104.1,2,9,4.88,8.9,8.44,8.62,8.20,14.4,24,62,2.6,0,408,65,6.28,68,5.16,2,31:36,3:18,25,42,59.5,249,1,2,16,0,84.3,24,102,4.3,2,-40,97,57,-2
1172,PIT,2022-11-20,2022,30,37,85.9,2,5.16,6.28,28:24,103.2,24,24,Sun,10,11,,CIN,L 30-37,30,37,-7,67,25,42,17,59.5,249,1,0,2.4,0.0,85.9,2,16,4.55,5.9,5.66,6.40,6.11,10.0,24,102,4.3,2,351,68,5.16,65,6.28,0,28:24,3:18,24,39,61.5,346,4,2,9,2,103.2,24,62,2.6,0,40,-97,-57,2
1173,CAR,2022-11-20,2022,3,13,54.6,-2,3.80,4.67,26:46,74.4,17,30,Sun,11,11,@,BAL,L 3-13,3,13,-10,16,21,33,12,63.6,169,0,2,0.0,6.1,54.6,4,27,10.81,5.1,4.57,2.39,2.14,8.0,17,36,2.1,0,205,54,3.80,66,4.67,3,26:46,3:12,24,33,72.7,193,0,3,16,1,74.4,30,115,3.8,1,-79,-24,-103,-2
