Rk,Team,Date,Season,Pts,PtsO,Rate,TO,Y/P,DY/P,ToP,Rate,Att,Att,Day,G#,Week,Away,Opp,Result,Pts,PtsO,PtDif,PC,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C,Rush_Att,Rush_Yds,Rush_Y/A,TD,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,Cmp,Att,Cmp%,Yds,TD,Sk,Yds,Int,Rate,Opp_Rush_Att,Opp_Rush_Yds,Y/A,TD,Rush,Pass,Tot,TO
14,MIN,2024-12-01,2024,23,22,111.6,1,5.35,5.27,24:11,71.7,15,31,Sun,12,13,,ARI,W 23-22,23,22,1,45,21,31,10,67.7,205,2,0,6.5,0.0,111.6,5,30,13.89,6.6,5.69,7.90,6.81,9.8,15,68,4.5,0,273,51,5.35,77,5.27,1,24:11,3:02,31,45,68.9,252,1,1,8,2,71.7,31,154,5.0,0,-86,-47,-133,1
15,PHI,2024-12-01,2024,24,19,93.7,0,4.67,5.24,26:09,97.7,33,32,Sun,12,13,@,BAL,W 24-19,24,19,5,43,11,19,8,57.9,112,1,0,5.3,0.0,93.7,2,6,9.52,5.9,5.33,6.95,6.29,10.2,33,140,4.2,2,252,54,4.67,71,5.24,0,26:09,3:05,23,36,63.9,206,2,3,31,0,97.7,32,166,5.2,0,-26,-94,-120,0
16,SEA,2024-12-01,2024,26,21,94.3,0,4.54,4.16,31:21,71.4,23,21,Sun,12,13,@,NYJ,W 26-21,26,21,5,47,20,31,11,64.5,175,1,0,3.2,0.0,94.3,3,31,8.82,5.6,5.15,6.29,5.74,8.8,23,84,3.7,1,259,57,4.54,62,4.16,2,31:21,3:06,21,39,53.8,169,2,2,16,1,71.4,21,89,4.2,0,-5,6,1,0
17,TEN,2024-12-01,2024,19,42,84.5,-1,4.90,6.01,19:47,113.3,11,45,Sun,12,13,@,WAS,L 19-42,19,42,-23,61,18,37,19,48.6,210,2,0,5.4,0.0,84.5,2,2,5.13,5.7,5.38,6.76,6.41,11.7,11,35,3.2,0,245,50,4.90,77,6.01,2,19:47,3:14,25,30,83.3,196,3,2,10,1,113.3,45,267,5.9,3,-232,14,-218,-1
18,BUF,2024-12-01,2024,35,10,138.9,3,6.64,5.09,33:27,72.9,38,27,Sun,12,13,,SFO,W 35-10,35,10,25,45,14,18,4,77.8,152,2,0,11.1,0.0,138.9,0,0,0.00,8.4,8.44,10.67,10.67,10.9,38,220,5.8,3,372,56,6.64,47,5.09,0,33:27,2:46,11,18,61.1,86,0,2,8,0,72.9,27,153,5.7,1,67,66,133,3
19,LAC,2024-12-01,2024,17,13,87.2,3,4.07,4.55,24:05,38.8,17,37,Sun,12,13,@,ATL,W 17-13,17,13,4,30,17,24,7,70.8,131,0,0,0.0,0.0,87.2,5,19,17.24,5.5,4.52,5.46,4.52,7.7,17,56,3.3,0,187,46,4.07,77,4.55,1,24:05,2:44,24,39,61.5,234,0,1,11,4,38.8,37,116,3.1,1,-60,-103,-163,3
20,BAL,2024-12-01,2024,19,24,101.3,0,5.24,4.67,33:51,92.4,32,33,Sun,13,13,,PHI,L 19-24,19,24,-5,43,23,36,13,63.9,206,2,0,5.6,0.0,101.3,3,31,7.69,5.7,5.28,6.83,6.31,9.0,32,166,5.2,0,372,71,5.24,54,4.67,0,33:51,3:05,11,19,57.9,112,1,2,6,0,92.4,33,140,4.2,2,26,94,120,0
21,WAS,2024-12-01,2024,42,19,114.7,1,6.01,4.90,40:13,84.3,45,11,Sun,13,13,,TEN,W 42-19,42,19,23,61,25,30,5,83.3,196,3,1,10.0,3.3,114.7,2,10,6.25,6.5,6.13,7.03,6.59,7.8,45,267,5.9,3,463,77,6.01,50,4.90,1,40:13,3:14,18,37,48.6,210,2,2,2,0,84.3,11,35,3.2,0,232,-14,218,1
22,ARI,2024-12-01,2024,22,23,72.5,-1,5.27,5.35,35:49,107.6,31,15,Sun,12,13,@,MIN,L 22-23,22,23,-1,45,31,45,14,68.9,252,1,2,2.2,4.4,72.5,1,8,2.17,5.6,5.48,4.04,3.96,8.1,31,154,5.0,0,406,77,5.27,51,5.35,2,35:49,3:02,21,31,67.7,205,2,5,30,0,107.6,15,68,4.5,0,86,47,133,-1
23,HOU,2024-12-01,2024,23,20,95.5,1,5.34,5.57,32:17,83.0,25,25,Sun,13,13,@,JAX,W 23-20,23,20,3,43,22,34,12,64.7,218,1,0,2.9,0.0,95.5,2,24,5.56,6.4,6.06,7.00,6.61,9.9,25,108,4.3,1,326,61,5.34,67,5.57,0,32:17,3:18,24,42,57.1,276,2,0,0,1,83.0,25,97,3.9,0,11,-58,-47,1
